Area,Item,Status,Priority,Notes
Foundation,GitHub repo + GitHub Pages deployment,Done,,Custom domain nogame.dev with CNAME
Foundation,Landing page (index.html),Done,,Public marketing page
Foundation,Auth modal (sign in only),Done,,Sign-up flow intentionally removed
Foundation,Supabase email/password auth,Done,,axlybeznzibovvqkllzq.supabase.co
Foundation,Hash-based SPA router,Done,,Routes: home / game / league / team / user
Foundation,Auth guard on app.html,Done,,Redirects unauthenticated users to landing
Foundation,Cache-busting versioned scripts,Done,,main.js?v=N pattern
Foundation,Mobile responsive layout,Partial,Medium,Profile + chat tuned. Other views could use a deeper pass
Foundation,CLAUDE.md project docs,Done,,Pre-existing
Foundation,Embedded worktree submodule removed,Done,,Was silently breaking Pages deploys
,,,,
AI Picks & Chat,Edge Function generate-ai-picks (Bet365 edge),Done,,Deployed to Supabase
AI Picks & Chat,Edge Function ai-picks-chat (conversational),Done,,Deployed to Supabase
AI Picks & Chat,Bet365 vs market-avg edge calculation,Done,,Pure positive-edge filter before Claude sees candidates
AI Picks & Chat,Neutral / no-edge handling,Done,,Markets within ±0.5% marked neutral; never treated as failed
AI Picks & Chat,Live odds fetched per chat turn,Done,,7 sports: NFL/NBA/MLB/NHL/EPL/UCL/MLS/MMA
AI Picks & Chat,Conversational chat UI (bubbles),Done,,localStorage persisted; clear button; typing indicator
AI Picks & Chat,Light markdown rendering,Done,,bold/italic/code/lists/links + HTML escape
AI Picks & Chat,Rate limit (8s chat / 5 min picks),Done,,Backed by profiles.last_chat_request / last_ai_request
AI Picks & Chat,ANTHROPIC_API_KEY secret,Done,,SET. Must be rotated (was pasted in transcript)
AI Picks & Chat,ODDS_API_KEY secret,Done,,Was already set
AI Picks & Chat,Correct Score odds raw table,Done,,Wired in generate-ai-picks; not yet shown in chat
AI Picks & Chat,Correct Score AI selection logic,TODO,Medium,Deferred per spec — needs sport-specific factors
AI Picks & Chat,Save picks from chat into ai_picks table,TODO,Medium,Currently chat replies are ephemeral
AI Picks & Chat,Render pick cards inline in chat,TODO,Medium,Claude could emit <picks>JSON</picks> blocks
AI Picks & Chat,One-click 'Track this bet' from chat reply,TODO,High,Bridge chat → bets table
AI Picks & Chat,Cost monitoring + budget alerts,TODO,High,$5 Anthropic credit; no usage visibility
,,,,
Bet Tracking,bets table + RLS,Done,,Owner-only writes
Bet Tracking,Add Bet modal with payout calculator,Done,,
Bet Tracking,Bet history list with filters,Done,,Status / sport / bookmaker
Bet Tracking,Settle bet (won/lost/push),Done,,
Bet Tracking,Stats dashboard,Done,,6 stat cards
Bet Tracking,Payout calculator (American odds),Done,,Handles +/- correctly
Bet Tracking,Quick-add from AI chat,TODO,High,See AI Picks row above
Bet Tracking,CSV export of bet history,TODO,Low,
,,,,
Live Odds,liveOdds.js polling every 10s,Done,,
Live Odds,Sharp movement detection,Done,,≥5 pts triggers badge
Live Odds,Movement badges (📈/📉),Done,,
